theme,value
PickerApp DC,"1,31"
Авторизация,"1,37"
Админка CTT,"1,45"
Админка Такси,"2,79"
Адрес ресторана,"1,48"
Акции,"1,81"
Баннеры и подборки,"1,6"
Биометрия,"1,24"
Блокировка аккаунта,"0,91"
Блюдо выходит из стоп-листа раньше времени,"2,31"
Блюдо из стоп-листа в заказе,"2,54"
Блюдо не снимается со стоп-листа,"2,21"
Блюдо не ставится в стоп-лист,"2,28"
Бухгалтерия и отчёты,"2,49"
Визуальная ошибка - не блокирует работу,"0,78"
Визуальная проблема интерфейса,"2,38"
Вопрос исключительно по Умной цене,"4,68"
Вопрос по платной подписке,"2,17"
Вопросы по разделу,"1,67"
Время доставки,"2,63"
Вылетает приложение,"1,72"
Дали мало / много времени на готовку,3
Данные в профиле,"2,28"
Данные о клиенте в заказе,"2,58"
Доставка и самовывоз,"3,61"
Достижения,"2,36"
Доступен только для предзаказа,"2,88"
Другая ошибка,"3,04"
Другое,"3,45"
Другое время на сайте,"3,03"
Еда в городе,"2,2"
Жучок,"0,29"
Завершение слота,"2,86"
Заказ,"0,86"
Заказ не по графику работы зоны ресторана,"3,26"
Изменение заказа рестораном,"3,19"
Информация о Лиде,"2,68"
Информация об отмене не поступила в ресторан,"1,77"
История заказов,"1,3"
Картинки,"2,87"
Карточка заказа,"2,06"
Каталог,"1,35"
Корзина,"2,84"
Корпоративный способ оплаты,"2,54"
Маркетплейс аренды,"2,84"
Мед книжка,"0,94"
Меню,"2,31"
Мешает оформить заказ,"1,56"
Мультизаказ,"2,26"
Начало слота,"2,97"
Не вернулись деньги,"0,73"
Не видит тестовый заказ,"1,02"
Не видно заказа,"1,81"
Не видно на сайте,"2,64"
Не выгружается id терминала в группе,"0,95"
Не добавляется картинка к блюду,"3,19"
Не доплатили,"1,49"
Не заплатили,"1,56"
Не запускается акция,3
Не запускается продвижение,"3,15"
Не меняется статус,"2,05"
Не меняется статус заказа,"0,62"
Не могу написать,"1,55"
Не могу связаться с курьером/рестораном,"3,36"
Не может принять заказ,"1,76"
Не может сбросить пароль,"0,69"
Не парсится блюдо/категория,"3,1"
Не парсится всё меню / возникает ошибка,"2,68"
Не получается включить в админке,"0,99"
Не получается добавить блюдо/категорию,"2,71"
Не получается удалить/изменить блюдо,"2,43"
Не понимает куда исчезли деньги,"2,91"
Не поступает заказ,"1,61"
Не поступает заказ в вендорку,"2,62"
Не поступают заказы,"1,4"
Не пришел еженедельный отчет,"2,01"
Не пришел чек,"0,94"
Не проходит оплата,"3,21"
Не прошла оплата заказа,"0,29"
Не работает действующая акция,"3,05"
Не редактируется время,"3,3"
Не редактируется зона,"2,31"
Не сохраняются зоны,"3,77"
Не сохраняются изменения заказа,"2,2"
Не сработал автообзвон по заказу,"3,41"
Неверные данные в профиле,"1,54"
Невозможно найти на сайте,"3,34"
Некорректная стоимость блюда в заказе,"3,16"
Некорректная цена блюд в заказе,"2,15"
Некорректно нарисованы зоны,"2,33"
Некорректное количество оценок,"3,15"
Некорректные звонки,"0,87"
Некорректный рейтинг,"2,75"
Несанкционированные списания,"1,02"
Нет в карусели,"2,93"
Нет ребенка в ПРО,"1,28"
Новый ассортимент гораздо меньше предыдущего,"2,96"
Обновление меню в ERMS,"0,96"
Обучение,"2,71"
Опечатка,"2,22"
Оплата,"1,51"
Отмена заказа,"2,19"
Отображение в рекламной выдаче,"1,15"
Отображение ресторана в вендорке,"1,83"
Отслеживание заказа,"2,19"
Отсутствует в быстром фильтре,"2,38"
Отсутствуют звуковые уведомления,"1,6"
Отчёты,"1,94"
Ошибка активации партнера,"3,19"
Ошибка БД,"2,41"
Ошибка в тестовом заказе с акцией,"2,63"
Ошибка в функционале продвижения,"2,71"
Ошибка мешает выполнению заказа,"2,23"
Ошибка не мешает выполнению заказа,"2,2"
Ошибка отправки заказа,"1,4"
Ошибка при включении из вендорки,"0,81"
Ошибка при входе в вендорку,"0,71"
Ошибка при настройке группы ресторана,"2,22"
Ошибка при оформлении заказа,"1,98"
Ошибки на стороне интеграции,"3,59"
Падение количества товаров в магазине,"3,35"
Партнеры Еды,"2,01"
Пауза,"0,66"
Перевод,"2,88"
Персональные цели,"0,86"
По sms,"0,53"
Почему отменился заказ,"4,11"
Приложение,"0,59"
Приоритет,"1,42"
Пришёл ответ от партнёра,"6,38"
Проблема банковских карт,"1,36"
Проблема с адресами,"2,22"
Проблемы при оплате,"1,74"
Проблемы с акцией,"2,46"
Проблемы с маршрутом,"1,6"
Проблемы с меню,"2,09"
Проблемы с парком,"0,84"
Проблемы со входом в приложение,"1,1"
Проверка паспорта,"1,48"
Программа лояльности,"3,94"
Прогресс,"0,56"
Промокоды,"2,27"
Пропал Лид,"3,51"
Пропали картинки,"2,69"
Пропало блюдо/категория,"1,63"
Профиль,"0,54"
Пустое меню на фронте,"3,35"
Пустой каталог,"3,2"
Раздел Заказы,"1,69"
Раздел Регионы,"4,04"
Раздел Рестораны,"3,69"
Расписание слотов,"2,88"
Ресторан не видит акцию в кассе,"2,37"
Ресторан не может связаться с клиентом,"1,06"
Ресторан не увидел заказ. Ошибки отправки нет,"1,2"
Реферальная программа,"6,29"
Робот не перестаёт звонить,"1,4"
Ровер,"1,47"
Связь с клиентом,"2,28"
Скидки,
Скидки месяца,"1,88"
Слоты по пожеланиям,"3,89"
Списали не с того счета,"1,57"
Статистика заказов,"1,55"
Стоимость доставки,"1,99"
Стоимость заказа,"2,95"
Тестовый заказ. Ошибка отправки,"1,13"
Типы передвижения,"1,01"
Уведомления,"2,01"
Фото профиля,"0,84"
Функционал,"2,87"
Цена заказа,"3,43"
Чаевые,"2,33"
Чат с поддержкой,"2,69"
Чеки по чужим заказам,"2,51"
Яндекс Байк,"1,73"
Яндекс.Плюс,"2,33"
